에브리 세 놐ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아 진짜 언니사랑해요,1주 전,1639
한국말 못하는거 맞나 ㅋㅋㅋㅋ 뭐 저리 신박한 표현을 ㅋㅋㅋㅋㅋ,4일 전,35
은근히 유재석이 제시한테 안져줌ㅋㅋㅋㅋㅋ 효리랑 잇을땐 확실히 져주는게 보이는데 제시는 냅두면 너무 날뛰니까 어느정도 잡으려고 해서 제시도 중간에 깨갱 모먼트가 잇어서 재미짐ㅋㅋㅋㅋㅋ,1주 전,4748
사실 저렇게 하기 은근 힘든데 맞춰주는 스킬이 대단하신듯,4일 전,649
제시도 방방뛰긴하지만 커몬할때 일부러 깨갱해주는 것도 있는듯ㅋㅋㅋ 계속 커몬커몬하면 좀 짜증날만도 한데 ㅋㅋㅋ,4일 전,794
"@MOU5E 갓재석,,,",4일 전,38
@Wun Level 마자옄ㅋㅋㅋ 그래서 서로 눈치껏 잡고 잡혀주고 그러는거 같아여 ㅋㅋㅋ,4일 전,356
효리한텐 당해야 재미있고 제시한텐 구박해야 재밌는걸 아니까 그러는거 ㅋㅋ,3일 전,298
의도적으로 잡고 뭐 그러는게 아니라 티키타카가 잘되는듯,3일 전,114
저게 타고나길 사람 잘 대하는 사교성이고 재밌으면 캐미,3일 전,19
제시도 이제 예능에 자주 나오면서 적응해 나가는 것 같던데,3일 전,39
버릇과 예의는 제대로,3일 전,7
"제시 안그러면 폭주함ㅋㅋ
런닝맨에서 어느정도 다 토크 지분 가져가서 고루 방송 나와야하는데 제시가 끊임없이 말하니 묻히는 사람들 나와서 그런듯",3일 전,42
@Ceil o 근데 런닝맨하고 비교해서 제시 반응도 변한 것 같음. 런닝맨에서는 유재석 말마다 짜증?냈는데 여기서는 오히려 제시가 당하는 느낌?,3일 전(수정됨),6
이런게 티카티카가 잘 맞는다....,3일 전,6
둘 다 깨갱할 때도 있고 쎌때도 있고 서로 맞춰주는 거지 뭔 유재석이 져줰ㅋㅋㅋㅋㅋㅋㅋ,2일 전,11
이효리한테도 말로 만 져주는거지 결국 하는 거 보면 이효리도 유재석한테 엄청 의존 하고 있는거 같음.,2일 전,15
한국 예능에서 유느님이 당연히 조절 잘 하시지~~ 적당히 재미있게,1일 전,4
"예능감이 대단해 다들 ㅋㅋㅋㅋ 
어느정도 선 아니까 서로저럴수있지 ㅋㅋㅋ",1일 전,1
ᄏᄏ ㅇㅈㅋㅋㅋㅋㅋㅋㅋㅋ져주긴 뭘 져주냐,21시간 전,0
쉑시도발서켠 ㅇㅇ말로만 그러지 서로 상호작용임,21시간 전,0
괜히 예능계 탑 아니게 유재석은 적당히 치고빠지는 스킬이 대단함 볼때마다,17시간 전,1
제시랑 처음 방송할땐 디게 힘들어했음ㅋㅋ 지금은 제시가 유느 되게 좋아하는데 첨엔 엄청 놀린다고 개싫어함ㅋㅋㅋ 여러번 방송 같이하면서 유느가 컨트롤 방법을 터득한거임ㅋㅋㅋ,16시간 전,2
YOU & ME 제시 엔팁 유재석 잇프피 상극이긴 함ㅋㅋ,15시간 전,0
"이효리는 차분하게 논리적으로 협박하지만, 제시는 즉각반응이 오기에 놀리는재미가있음 ㅎㅎ",2시간 전,0
피디요? 아는체 쩌네,1시간 전,0
누구냐고 물어서 알았을때 바로 놉 하는거 너무웃곀ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,4일 전,1926
2:30 에브리 세 노. 노 세~ㅋㅋㅋㅋ,3일 전,38
새찬이 형~~!!,1일 전,0
휴먼광희체에 이은 휴먼제시체ㅋㅋㅋㅋㅋㅋㅋ제시가 한국어로 계속 다다다 말할 때마다 나오는 글씨체 미칠것같음ㅋㅋㅋㅋㅋ특히 고퀄 영어 발음나올때 글씨체랑 비교되는게 킬포ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,4일 전,1200
"1:35  어우 촴 기가 막히져 ᴏᴘᴘᴀ 진쫘~
2:01 착해! 그리고 쎈스 쥐찌 쩌러여!",1일 전(수정됨),9
"ㅋㅋㅋ 광희 언급될때마다 넘 좋은데 막상 광희 밀어주긴 맘이 넘 쓰이는 ㅋㅋㅋ
영상들 보기만 해도 내 기가 쭉쭉 빠지는데 울 광희 더 말라가면 어째 ㅋㅋㅋ 맨날 커피 7잔 헤이즐넛 시럽 넣어 배달해야하구. 갈등되는 상황 ㅋㅋ",1주 전,2449
Stitch Bug Back 수 놓고 싶어지는 채널 ㅋㅋㅋㅋㅋㅋㅋ,4일 전,11
그래도 광희,3일 전,128
광희는 놀뭐 나온다면 무조건 좋아할거ㅜㅜ 우리도 너무 원한다구 광으로 갑시다!!,3일 전,100
근데 광희가 지고 있지만은 않을 것 같은데 ㅋㅋㅋㅋㅋ,3일 전,19
"@김현성 
??? : 나도 고소장 날려여!!
이케..이케 날리는거 아냐..?",2일 전,24
광희 살 다 빠지고 뼈랑 가죽만 남아서 링겔투혼 할듯ㅜㅜ,2일 전,5
아ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ그래도 전 광희 원해요ㅎㅎ,16시간 전,1
YES I WANT 광희!!!!! Plz feed us more of kwanghee! I can see their chemistry be just amazing ;),4일 전,25
"환불원정대 넷 다 광희 좋아하는 거 보니까
광희가 평소에 정말 잘 하나보다 
좋구만 😊😊😊😚😊",3일 전,540
세형 세찬이랑은 안맞나보네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 근데 제시가 인정한 사람들은 진국인듯 광희 진국이잖아 ㅋㅋㅋ,4일 전,852
매니전데 자기들 말 안듣는다곸ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 너무웃김,4일 전,84
광희가 진짜 사람들한테 잘한다고 하더라구요. 모두가 인정한 진국,4일 전,145
광희 목격담만 봐도 사람 성격이 진짜 좋아보여요ㅋㅋㅋㅋ,2일 전,21
"양세형 너무 똑똑해서 거절하는거같아욬ㅋㅋ ㅋㅋㅋㅋㅋㅋㅋ 제시가 질수도있음 ㅋㅋㅋㅋㅋ 아메리카노 안가져다줄수도있음 ㅋㅋㅋㅋ
광희는 걍 착하고 바르고 ㅋㅋㅋㅋ",1일 전,8
맞아여 광희 효리언니 픽이잖아요!,1일 전,1
광희 진짜 목격담 미담만 줄줄ㅠㅠ 엘리베이터 탔는데 삐 소리 나서 사람들이 뚱뚱한 사람만 쳐다봤다함 광희가 스탭들 보면서 우리 점심 많이 먹어서 그런가 봐ㅎㅎ하면서 내렸다구...,12시간 전,2
@김유진 양세형은 레알 제시가 ㅂㄷㅂㄷ 꼼짝 못할꺼 같아ㅋㅋㅋㅋㅋㅋ 이것도 나름대로 재밌겠닼ㅋㅋㅌㅌ,3시간 전,0
자막 글씨체 짱웃김 ㅋㅋㅋㅋ 무슨 글씬지 모르겠음 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 프로 수발러 가시져 싹쓰리때 너무 쪼끔 나왔써효....,4일 전,388
휴먼제시체,1일 전,1
"볼때마다 느끼는건데 제시라는 인물이 귀엽고사랑스럽다는 이미지가아닌데 유느님이랑만 있으면 너무 귀엽고 사랑스러워보임
심지어 순박해보이기까지함...",3일 전,515
은근히 애교가 많앜ㅋㅋㅋㅋㅋㅋ,3일 전,23
제시 집에서 막둥이라 애교 은근 많은듯ㅋㅋㅋㅋㅋㅋ,19시간 전,0
This is TV gold!,1주 전,22
"저도 남편이랑 둘이 보면서 광희가 됐으면 좋겠다.  세형,세찬은 좀 너무 나대고 한마디도 안질려고 해서 사람 지친다고 했는데. 제시가 저렇게 해줘서 사이다 였음.",3일 전,125
ㅋㅋㅋㅋ저도 그렇게 생각했는데 사이다였습니다,2일 전,9
세형 티비에 틀때마다 나와서 넘 싫어요 남 까내리는 개그가 재미있나? 기분나쁘던데 저희 엄마도 홈즈 볼때마다 엄청 싫어해요,21시간 전(수정됨),7
깐족거리는 거 좋은데 쎈캐지만 여린 사람들 이겨먹는 거 싫음,12시간 전,3
나도 저중에 고르라면 세형세찬보다는 광희가 좋을것같음. 세호는 누군지 잘 모른채로 노오우 한같고ㅋㅋ,4일 전,1516
ㅋㅋㅋㅋㅋㅋ 조세호씨는 뭔가있음,2일 전,15
양세형 양세찬은 좀 오바임 너무 나대고 깝치는 느낌이고 나서는게 너무 심해서 매니저랑은 안 어울림,1일 전,31
세형 너무 깝죽대고 상대방 까내리는 개그를 재미라고 치고있어서 티비보는 사람 너무 기분나쁘게함 한대쥐어박고싶음,21시간 전,8
조세호는 좀 겉도는 느낌이 있을듯... 제발 광희ㅠㅠㅠ🥰🥰,21시간 전,6
"왜 갑자기 양세형 까이고 있냐
좋은 일 많이 했던 사람이고
공중파는 급나게 나오는구만
까분다고 할꺼면 예능을 보지 말지
예능이 좀 까불어야 재밌지
그럼 까불면 안되고 남 놀리면 안되면
예능 없에고 다 다큐로 만들어야지 ㅋ",18시간 전,0
@잡덕 응 세형이 어서 오고,17시간 전,1
잡덕 까일만 하니깐 까이지 ㅋ,13시간 전,0
진짜 광희 홍진경 이 조합으로 매니저 가야됨ㄹㅇ,4일 전,391
ㅅㅂㅋㅋㅋㅋㅋ개웃셬ㅋㅋㅋㅋㅋ,4일 전,22
오ㅋㅋㅋㅋㅋㅋㅋㅋㄱㅋ홍진경ㅋㅋㅋㅋㅋ,4일 전,18
올려두리자 이거다,3일 전,3
보자마자 웃음ㅋㅋㅋ 이거닼ㅋㅋㅋ,2일 전,2
개재밌게땈ㅋㅋㅋㅋㅋ,2일 전,1
홍진경 좋다ㅋㅋㅋㅋㅋ,1일 전,1
제시랑 홍진경 조합도 개웃길듯ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1일 전,1
진경언니 코디 !!!!!,20시간 전,0
누가 누군지 구별안되서 안됨,6시간 전,0
"유재석이랑 제시 꿀조합ㅁㅋㅋㅋㅋㅋㅋㅋ 유느가 일방적으로 놀리는 정형돈, 조세호, 지석진 같은 조합도 진짜 재밌지만 유느가 뒷목잡는 조합도 개좋음ㅋㅋㅋㅋ
내가 지금 주문 받는게 아니예요ㅋㅋㅋㅋㅋㅋ 왜케 다 새우예요ㅋㅋㅋㅋㅋㅋ",4일 전(수정됨),842
jessi is such a natural variety show person cause shes so herself lol,1주 전,14
"아 이거 뒤가 웃긴3ㅔ 여기서 잘라버리네
조세호 샤진 보자마자 no!! 하는거 개웃겼는뎈ㅋㅋㅋㅋㅋ",4일 전,478
진짜 개웃겼는뎈ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2일 전,3
"제씨언니 진짜 미쳐땈ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ Every 세 NO!!!!!!!! , ""지석진 어때요?"" ""NOPE!!!"" 놉 개단호 ㅋㅋㅋㅋㅋ시청자들 속마음 말해주는거 같아서 너무 통쾌해 미쳐불겄네 ㅋㅋㅋㅋㅋ
 OH MY GODDDD!! 할때마다 통쾌상쾌유쾌 ㅋㅋ흥하자 제시섹시 아이러빗",6일 전,912
아니 유재석 저 머리 욀케 잘 어울리는거야 ㅎㅎㅎㅎ,5일 전,637
옐로우가이 머리ㅋㅋㅋ,3일 전,1
촌스러울스록 잘어울려 ㅋ,3일 전,2
짱구 20세기박물관 보스같음,3일 전,4
처진 달팽이 컷ㅋㅋ,2일 전,1
박지호 그니까 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㄲㄱㅋㄱㅋㄱㅋ,23시간 전,0
These two have the best chemistry everrrr. They are forever bickering but always so funny and never overboard,2일 전,5
제시 런닝맨이나 방송상으로는 유재석이랑 하면 엄청 지쳐하곸ㅋㅋㅋㅋㅋ 너무 말 안통한다고 해주면서도 mc로서의 능력은 정말 대단하다고 해주는거 먼가 멋져ㅠㅠㅠ 언프때부터 봤지만 성격상 안 맞고 싫어해도 인정할 건 인정하는 게 제시 매력인 거 같음,4일 전,527
I live for Jessi on variety/reality shows 😂❤️,1주 전,12
지석진씨는 진짜 아니지... 움직이지 않을 것 같은 느낌적인 느낌...,4일 전,289
빠릿빠릿 안할듯,3일 전,1
오히려 수발 들어야 할 상황이 생길것 같은.... 느낌적인 느낌😅,3일 전,21
@Eun-Ji Kyle Kim ㅋㅋㅋㅋㅋㅋㅋㅋㅋ미친ㅋㅋㅋㅋㅋㅌㅋㅌㅋㅋㅌㅋㅋㅋ,1일 전,0
댓글보다가ㅋㅋ광희 +홍진경으로 매니저조합 추천하는거 봤는데 보자마자 이거다! 했음ㅋㅋㅋㅋㅋㅋㅋㅋㅋ  제발 이렇게 뽑아줘욬ㅋㅋㅋㅋㅋ벌써 웃기다 심지어 둘 다 아이돌 그룹 경력직이얔ㅋㅋㅋ,2일 전,335
미쳤다 ㅋㅋㅋㅋㅋㅋ누가생각해냈지 개쩌네요 조합,23시간 전,1
"유느와 제시대화  2가지 
제시 컴온    제시돈터치미 ㅋㅋㅋ",4일 전,729
매니저 광희 홍진경 조합 개꿀일거같애 ㅋㅋㅋㅋㅋㅋ홍진경도 처량한분위기의 대명사지 ㅋㅋㅋ 네명 기쎈여자들때문에 처량해지는 분위기 나오면 존잼일거같은데 ㅋㅋㅋㅋ,3일 전,59
아진짜 캐릭터 하나는 독보적이다 ㅋㅋㅋ,5일 전,278
유재석 저 가발은 그냥 미친거 같아...너무너무 잘 어울려... a little bit of hazelnut syrup...미치겠다 정말..아 둘이 왜케 웃겨,4일 전,426
진짜 스케일 크게 소지섭이나 송중기 매니저 하자.,4일 전,117
그럼 매니저가 갑이 돼버려서..,3일 전,1
광희랑 제시랑 둘 다 자막이 쪼글쪼글해ㅋㅋㅋㅋㅋ,4일 전,113
Yesss I want 광희이래 ㅋㅋ 왜케 웃겨 ㅋㅋㅋㅋㅋ 제시 대호감,1주 전,218
놀면뭐하니 진짜 팬인데 조세호 Noㅠㅠ노노 인성논란 사건들때문에 티비나올때마다 여러사람 보기 불편합니다,2일 전,101
매니져는 무조건 광희씨 !!!수발놈이죠!!!! 확실히 분위기 팍팍 살듯ㅎㅎ,4일 전,145
아메리카노 위드 어 리를 빗 오브 해이즐넛 시뤕 ㅋㅋㅋㅋ 귀여워,1주 전,97
아메리카노에 시럽넣어먹는 사람이 있구나ㅋㅋㅋㅋ 나도그렇게 먹는데 그럴꺼면 왜 아메리카노먹냐고 하던데ㅋㅋ,4일 전,2
"I don’t understand a word but I smile and laugh along! I love Jessi and Yoo Jaeseok together, they’re like siblings bickering! I can’t wait for the Refund Sisters to perform live on stage together!",1주 전,22
Jessi is the queen of entertainment. I literally die of laughter bc of her. Thanks jessi for lighting my life ❤️🌹,1주 전,25
은비 치마 뿌소뿌소한 거 입은거 보고싶닼ㅋㅋㅋㅋㅋㅋㅋㅋㄱㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,3일 전,63
광희랑 제시 글씨체 쪼글쪼글찌글찌글초딩글씨체인 게 너무 비슷함 ㅅㅂ ㅋㅋㅋㅋㅋㅋㅋ,3일 전,137
"예스 아이원트광,희!!!! 이거 엄청 미국 시트콤 같음ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",4일 전,53
The perfect couple,1주 전,5
ㅋㅋㅋㅋㅋ 아 런닝맨때부터 제시 뭔가 세찬이랑 말 안통해서 그닥 안편한듯 ㅋㅋㅋㅋㅋ 웃김,4일 전,69
저렇게 티격태격해도 제시님이 유재석님을 진심으로 대단하신분이라고 느끼는게 보이네요 ㅎㅎ,3일 전,182
진짜 국민 최고 MC라 하고 존경하는 게 딱 눈에 보임!! 광희도 착하다 하구,1일 전,2
제시 자막 삐뚤빼뚤 뭐야 ㅋㅋㅋ,1주 전,58
아니 매니저로 광희랑 홍진경 해주세여 닮아서 개웃길드,3일 전,9
광희는 명수 형이 인정한 SBN이니...(끄덕끄덕),3일 전,10
"JESSI AND JAESUK is always a trip!!!! I am sooo happy to see them together again!!! #PrayingforYooJaeSuk 😂😂😂

The way she favors Kwang Hee over the Se’s 😂😂😂 
Yang Se Chan and Yang Se Hyung is a NO for Jessi HAHAHAHA",1주 전(수정됨),254
Can u please tell me where can I watch this ep in English sub,1주 전,0
@Beca Rayit's just air today so maybe tomorrow or monday,1주 전,1
@Beca Ray u can watch on viu,1주 전,0
"Jo Seho is also a ""Se"" so literally he's a no too 😂",1주 전,3
광희 하면 너무 재미있을듯 ㅋㅋㅋㅋㅋㅋ,4일 전,51
제시 전용 폰트랑 광희 전용 폰트 같이 나오는 거 보고싶닼ㅋㅋㅎㅋㅋㅋㅎㅋㅋㅋ,3일 전,46
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ광희 가즈아아아아아 커몬!!!! ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1주 전,77
I think the announcer Cho Jung Shik will be a good manager fore her. He has a good sense and I like their chemistry in Jessi's show. Wanna see them more 😂,1주 전,88
"He is an sbs announcer, while this show is belong to mbc. So, it's not possible i guess.",5일 전,2
2:34 Every세NO! No!세s 터졌다진짴ㅋㅋㅋ 제시언니come on~🤣,1주 전(수정됨),75
"헤이즐넛 시럽 얘기할 때 “oh love, I love” 하며 웃는 것 때문에 제시 팬 됐고 이 영상만 50번째.",3일 전,18
No touch  ㅋㅋㅋ 제시 화사 모두가 한 얘게~ 노래제목으로 좋은데~ ㅎㅎㅎ,1주 전,24
"""Jessie : every 세(Se) no""🤣🤣🤣🤣🤣",1주 전,120
Kwanghee is so loved by all the ssenunnis of the industry haha 😂,1주 전,68
Kwanghee is so cute AND SMART HE HAS THAT  SENSE SERIOUSLY,2일 전,2
매니저로 광수형해도 재밌을듯,4일 전,22
"""Jimmy Yoo : Don't touch me"" 😂😂😂😂😂",1주 전,78
1:54 아니 깨알같이 뒤에 립앤딥 보드 욕하는고양이 가운데 손가락 테이프로 가려둔거 개웃기넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,4일 전,26
와ㅠ이걸 보시네 ㅋㅋㅋㅋㅋㅋㅋㅋ,2일 전,0
"유재석님은 제시님이랑 말할때 모든 말이 컴온이야 ㅋㅋㅋㅋㅋ 
컴온인데 의미가 다 다르고 자막이 그걸 알아서 해석하는것도 개웃곀ㅋㅋㅋㅋㅋ
그리고 유재석님이 캐릭터 헷갈려도 자막이 부캐라고 선 긋는것도 웃김 ㅋㅋㅋㅋ",2일 전(수정됨),2
0:19 윗 어 리를 빗 헤어즐넛 씨이럽 ㅋㅋ 원래 아이스 아메리카노에 시럽 안넣고 먹다가 저거 듣고 궁금해서 헤이즐넛 시럽 추가해서 먹어봤는데 완전 중독되서 요즘 헤어즐넛 시럽 추가해서 세잔씩 마시고 있음 ㅋㅋㅋ,1일 전(수정됨),1
HAHAHAHAAA!!! I love the YESSSS KWANGHEE 😂😂❤️❤️❤️,5일 전,5
제시 말할때 자막글씨체 달라지는거 넘찰떡임ㅋㅋㅋㅋ,4일 전,31
아니 제시 왜케 웃겨요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ NO No 할때 진짜 발성이 배꼽부터 시작하는 거 같음ㅋㅋㅋㅋㅋㅋㅋㅋ,4일 전,9
"They always beefing 🙈😂😂 but I’m on the same tip as Jessi, I love my hazelnut creamer 😋",4일 전(수정됨),1
우와 제시 텔레그나 나온거 알고있네 진짜 지인들 나오는 프로그램은 다 챙겨보나보다 대단하다,4일 전,41
They're so funny! The Nations sibling for me lol,1일 전,0
제시ㅋㅋㅋㅋㅋ 저 광희랑같은 글씨쳌ㅋㅋㅋㅋㅋㅋㅋㅋㄱㅋㄱㅋㄲ 자막 너무 웃김ㅋㅋㅋㅋㄲㅋㅋㅋㅋㅋㅋ 제시 예명 커모옹 (come on)~~~~~! 어때요?ㅋㅋㅋㅋㄲ,4일 전,19
I do drink like jessi but the way jessi made Americano so classy 😆😂,1주 전,64
"유느님 come on 하나에 상황마다 다 알아서 해석되는 거 뭐야ㅋㅋㅋㅋㅋㅋ
come on~!-어쩌라고?
come on~!-또 뭐하는 거야~?!
come on~!-은비로 가자
come on~!-정신 차려 제시!
come on~!-어우 왜 만져!!
ㅋㅋㅋㅋㅋㅋㅋㅋ자막 미쳤냐고ㅋㅋㅋ",4일 전(수정됨),68
제시 자막너뭇웃겨ㅋㅋㅋ,4일 전,11
"English subs for International Friends by yours Truly:
Y: Is there anything about you I need to know? Is everything okay?
J: Ah.
Y: Anything you really want me to know about you.
J: 0:08 For me, coffee.
Y: Coffee? You need to drink it?
J: I drink 7 cups a day.
Y: 7 glasses? Americano?
J: 0:19 Americano with a shot of Hazelnut coffee. (Mind you these descriptions are all in English, so for the average older Korean, it is as if in America some star says ""I take my Champagne froid avec une peux de glace"")
0:25 ""subtitles says Jimmy is dizzy""
0:29 Y: Jessi, I'm not taking orders here.
0:33 J: It's an Americano, but you need a resonable amount of sugar.
0:28 Y: But it's not just any syrup. It needs to be hazelnut syrup. (Mind you most cafes in Korea don't have hazelnut syrup and there isn't a starbucks in every corner)
0:56 ""subtitles says the deal is about to fall through even before any contract is signed""
0:57 J: For me it's either a Vanilla Latte or that. That's it. You can dress me in anything at all. 
1:02 Y: You're straight up lying.
1:06 J: Stylist, please come here. You can dress me in anything. 
1:09 Y: You mean it? Takes notes for himself: Can dress her in anything. I'm really going to believe you then.
1:12 J: I mean, it can't just be anything. 
1:17 Y: You just said we can dress you in anything at all. 
